HTS,1,,,,,,,,,,,,,,,,
HDC,平成22年度,人口動態職業・産業別統計,,,,,,,,,,,,,,,
HD,７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（20大都市再掲）・性別,,,,,,,,,,,,,,,
,Table 3.,"Population of 15 years of age and over by occupation  (major groups), Japan, each prefecture and the 20 major cities, by sex, FY2010 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HT,都道府県 Prefecture,総　数　Total,就業者総数　Employed,,,,,,,,,,,,,無　職　Non-employed,不　詳　Not stated
,,,,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業,,
HB,総　数 Total,,,,,,,,,,,,,,,,
HS,６６　岡　　　山,600931,327295,7655,53135,61311,48845,37890,5019,8862,40307,10848,14747,19424,19252,260635,13001
HS,６７　広　　　島,993279,550633,13930,86866,112424,90820,64171,9693,5311,63174,20085,25465,32431,26263,372978,69668
HS,６８　北　九　州,840775,420916,10209,63572,75896,60174,53420,7971,3354,59898,18754,21226,25318,21124,368012,51847
HS,６９　福　　　岡,1255730,653204,16712,106170,140652,117500,80977,9150,4152,43293,20567,25101,36601,52329,445850,156676
HB,男 Male,,,,,,,,,,,,,,,,
HS,全　　　　　国　,53026970,33648380,1208996,4505778,4392527,4604162,2192873,1003303,1441711,5885976,2014944,2601234,1937717,1859159,15645215,3733375
HS,０１　北　海　道,2261177,1408599,56596,164485,171258,181805,98976,72664,102754,163646,111091,127717,81005,76602,757228,95350
HS,０２　青　　　森,557252,350772,11772,32156,37024,39139,21073,19976,44971,47375,28473,38768,20502,9543,196109,10371
HS,０３　岩　　　手,547110,349682,13356,35166,39259,39597,20409,9805,44294,63021,25765,33780,20721,4509,183479,13949
HS,０４　宮　　　城,977041,602499,22865,73995,77718,91766,39069,21390,33869,93453,45134,53427,36621,13192,313734,60808
HS,０５　秋　　　田,445772,279219,10582,28091,32701,31164,16747,8679,30723,51090,18858,30346,16706,3532,153576,12977
HS,０６　山　　　形,482794,313510,12104,31895,33367,36455,18055,9272,33925,68961,18000,28658,17599,5219,158454,10830
HS,０７　福　　　島,840675,527833,18487,53135,58410,59012,29964,14273,42166,119055,36307,51346,29947,15731,264494,48348
HS,０８　茨　　　城,1257643,824815,23937,106633,100830,89318,43088,24806,49371,181351,54428,63845,45034,42174,386767,46061
HS,０９　栃　　　木,847594,561658,17737,68014,62639,62226,33010,12860,32418,141542,34417,43029,32480,21286,240897,45039
HS,１０　群　　　馬,833013,546616,18119,62420,63197,65709,34924,12359,30803,134384,31690,44192,32402,16417,257987,28410
HS,１１　埼　　　玉,3084639,2041727,62964,272166,308449,306111,126300,60495,36635,328315,122516,151511,123492,142773,854696,188216
HS,１２　千　　　葉,2654419,1685258,56441,241904,275063,256228,108324,55375,49780,222884,105046,118611,99948,95654,732205,236956
HS,１３　東　　　京,5614151,3391226,149242,607074,526139,512285,246040,82739,16939,307837,149057,171133,170793,451948,1328107,894818
HS,１４　神　奈　川,3883656,2443594,87421,463179,400274,356546,164852,71859,24399,340165,130166,162675,135298,106760,1005473,434589
HS,１５　新　　　潟,989610,647418,23483,68414,71080,81950,40654,17403,42552,135284,45240,68428,37876,15054,310326,31866
HS,１６　富　　　山,449714,299695,11563,34341,32711,37792,15816,6839,12622,76526,19315,29145,17505,5520,138973,11046
HS,１７　石　　　川,479435,317649,12361,37434,34907,43025,21176,9503,12351,66420,18860,28677,18452,14483,143316,18470
