,,,,,,表３　15歳以上人口，職業,（大分類）・都道府県（15大都市再掲）・性別,,,,,,,
"総　数
",,,,,,,,,,,,,,"平成17年度   
  "
都道府県,総　　　数,就業者総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,無　　　職,不　　詳
,,,専 門 的・,管　理　的,事務従事者,販売従事者,サー ビ ス,保　　　安,農林漁業,運輸・通信,生産工程・,分類不能の,,
,,,技　術　的,職業従事者,,,職業従事者,職業従事者,作 業 者,従　事　者,労務作業者,職　　　業,,
,,,職業従事者,,,,,,,,,,,
"全　  　　　国 
",108767338,60733598,8364593,1455933,11835285,8869375,6054722,1049616,2929271,2064464,17036178,1074161,44419901,3613839
55　横　　　浜,1515088,662486,113952,4696,236464,96496,103633,1576,3008,2632,82116,17913,813737,38865
56　川　　　崎,545688,261054,44821,1554,91499,35486,38244,406,900,874,31617,15653,274389,10245
57　静　　　岡,311451,153508,21463,962,46883,21841,22838,435,5280,619,31118,2069,154573,3370
58　名　古　屋,948711,439360,66263,3619,146812,61555,72387,957,1209,1739,76590,8229,482149,27202
59　京　　　都,666906,295020,49571,2626,83698,45576,51586,582,1894,925,49769,8793,338442,33444
60　大　　　阪,1143610,479991,69044,4466,160564,72573,83801,672,267,1424,78755,8425,604150,59469
61　神　　　戸,686243,276665,49343,2060,87263,41131,46658,556,2182,912,39428,7132,390845,18733
62　広　　　島,506093,237191,41175,1872,76174,34352,38254,625,3087,944,35958,4750,253829,15073
63　北　九　州,457682,188996,34434,1500,53763,29430,34163,314,1362,802,29762,3466,258851,9835
64　福　　　岡,628065,284830,48432,2502,95659,44267,45985,623,1791,1164,36434,7973,304255,38980
注：1)　「国勢調査」平成17年10月１日現在の日本人人口（按分済み）,,,,,,,,,,,,,,
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。,,,,,,,,,,,,,,
　　3)　「不詳」は総数から、就業者総数と無職を引いたものである。,,,,,,,,,,,,,,
　　4)　15大都市の数値は、総人口から外国人人口を引いたものである。,,,,,,,,,,,,,,
