平成27年度,人口動態職業・産業別統計,,,,,,,,,,,,,,,
７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（21大都市再掲）・性別,,,,,,,,,,,,,,,
"Table 3　Population 15 years of age and over, by occupation (major groups), each prefecture (regrouped for 21 major cities) and sex"

注：1)　「国勢調査」平成27年10月１日現在の日本人人口（不詳按分済み）。,,,,,,,,,,,,,,,,
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。,,,,,,,,,,,,,,,,
　　3)　「不詳」は総数から、就業者総数と無職を引いたものである。,,,,,,,,,,,,,,,,
"Notes :1) “National Census (Statistics Bureau, Ministry of Internal Affairs and Communications)” Population in Japan as of October 1, 2015 (Unknown people have been proportionally distributed)"
2) Non-employed is total of "Unemployed" and "Population not in labour force" by census report.
3) Not stated is the one that the total of employed and the non-employed were subtracted from total.

,総　数　Total,　就業者総数　Employed,　　Ａ　管理的職業従事者,　　Ｂ　専門的・技術的職業従事者,　　Ｃ　事務従事者,　　Ｄ　販売従事者,　　Ｅ　サービス職業従事者,　　Ｆ　保安職業従事者,　　Ｇ　農林漁業従事者,　　Ｈ　生産工程従事者,　　Ｉ　輸送・機械運転従事者,　　Ｊ　建設・採掘従事者,　　Ｋ　運搬・清掃・包装等従事者,　　Ｌ　分類不能の職業,　無　職　Non-employed,　不　詳　Not stated
総　数 Total,,,,,,,,,,,,,,,,
３８　愛　　　媛,644001,287866,2473,51232,67674,34377,56944,474,16734,24492,645,623,20159,12039,335819,20316
３９　高　　　知,342924,152877,1434,31205,34699,17167,30284,365,13066,9551,241,339,9789,4737,164608,25439
４０　福　　　岡,2337083,1019333,9723,195438,274089,133745,189640,2546,22734,70361,2826,2887,70670,44674,1148799,168951
４１　佐　　　賀,380714,188718,1385,35272,42781,21544,36449,537,13031,18775,436,521,12868,5119,185878,6118
４２　長　　　崎,641088,292524,2452,57632,67893,35879,62494,990,15579,21714,634,689,18960,7608,336942,11622
４３　熊　　　本,822388,387087,3578,77526,88000,45697,75308,1021,29034,32171,797,1246,24395,8314,405130,30171
４４　大　　　分,537874,243607,2246,47123,54666,31328,49629,481,11918,20313,531,810,15955,8607,281113,13154
４５　宮　　　崎,509137,242213,1995,45662,55027,27351,46984,574,19898,23353,553,676,15622,4518,252177,14747
４６　鹿　児　島,763296,346866,2902,68052,78549,41321,71837,694,22656,29737,793,940,23411,5974,391787,24643
４７　沖　　　縄,603052,262538,1852,50434,68604,30419,51324,831,5911,13837,930,418,18133,19845,261783,78731
２１大都市（再掲）21 major cities (Regrouped),,,,,,,,,,,,,,,,
５０　東京都区部,4061537,1717582,24268,310398,568739,206359,236707,4862,1630,72705,3142,2826,84758,201188,1486299,857656
５１　札　　　幌,929007,381770,3592,69904,103154,50252,67212,1476,1048,20476,1052,795,31115,31694,452889,94348
