平成12年度,人口動態職業・産業別統計（人口動態統計特殊報告）
７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（13大都市再掲）・性別
注：1)　「国勢調査」平成12年10月１日現在の日本人人口（按分済み）。
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。
都道府県,総　　　数,就業者総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,無　　　職
,,,専 門 的・,管　理　的,事務従事者,販売従事者,サー ビ ス,保　　　安,農林漁業,運輸・通信,生産工程・,分類不能の,
,,,技　術　的,職業従事者,,,職業従事者,職業従事者,作 業 者,従　事　者,労務作業者,職　　　業,
,,,職業従事者,,,,,,,,,,
総数
２４　三　　　重,808306,379795,52180,2212,105158,49224,52700,479,18098,1682,96664,1398,426409
２５　滋　　　賀,564466,262591,38708,1513,73179,32551,32258,412,9151,957,70497,3364,298982
２６　京　　　都,1168423,518513,81204,4483,147335,76317,75556,1117,13914,1999,106245,10341,620705
２７　大　　　阪,3810130,1599223,236981,13999,533116,240287,227982,2551,6662,5904,301884,29857,2145351
２８　兵　　　庫,2432732,1021047,158479,9120,316887,144890,141810,2073,23804,3575,200072,20337,1382995
２９　奈　　　良,643252,250596,43813,2411,77643,35321,31031,416,7645,843,46346,5126,387461
３０　和　歌　山,482674,206103,31374,1331,53403,27864,28413,321,22828,639,38264,1666,274209
３１　鳥　　　取,272280,141143,19843,1123,34197,15860,17603,193,17148,469,33985,722,130383
３２　島　　　根,340306,167554,25503,1146,42516,19389,22939,262,17471,667,36930,729,171891
３３　岡　　　山,866302,401602,64034,2871,107843,49878,52838,622,26816,1542,92212,2946,460394
３４　広　　　島,1266385,592671,92478,4793,176073,79995,81345,1362,29688,2391,117703,6844,663275
３５　山　　　口,695072,318563,49512,2292,85522,43885,47190,746,23595,1495,62898,1426,374145
３６　徳　　　島,373535,168066,29027,1670,41229,20047,21826,240,18218,483,32971,2354,200916
３７　香　　　川,456192,216823,33805,1851,64021,26689,27493,284,15966,698,45304,712,238420
３８　愛　　　媛,679027,302424,45961,2157,78608,37187,41201,341,29683,1056,65452,776,374819
３９　高　　　知,374080,178284,30756,1362,43725,23007,26734,300,20939,561,29830,1071,192547
４０　福　　　岡,2248957,990390,162994,7824,294760,148078,145658,1759,37039,4270,175100,12908,1222634
４１　佐　　　賀,390954,190995,29023,1241,46501,24034,26551,393,21737,620,40466,428,199360
４２　長　　　崎,683260,304122,50386,2196,75652,43052,47885,633,25229,1299,56570,1219,377939
４３　熊　　　本,837841,395224,63530,2932,97250,48293,57211,723,45577,1271,75530,2906,436392
４４　大　　　分,555297,252074,39653,1751,63095,33554,37094,367,23338,1099,50192,1932,300321
４５　宮　　　崎,525156,254855,37503,1573,61829,30035,35796,425,31746,993,54264,692,268544
４６　鹿　児　島,808693,360697,57174,2366,89208,42971,53173,438,41024,1437,71713,1192,447378
４７　沖　　　縄,537901,229789,41842,1316,67665,34562,41987,497,9810,1345,28826,1940,301633
１３大都市（再掲）,,,,,,,,,,,,,
５０　東京都の区部,3567274,1717899,268291,25564,633069,254373,247646,4643,2126,5837,223190,53159,1722910
５１　札　幌　市,828494,352542,57346,3232,109517,56589,55849,1246,1354,2370,56463,8576,460212
５２　仙　台　市,437365,194780,30569,1797,66518,30784,28594,686,2404,933,28355,4139,234588
５３　千　葉　市,373658,165528,25843,1287,59838,24107,22742,472,1875,896,23139,5328,199078
５４　横　浜　市,1438875,621685,100355,5330,230262,94030,86805,1349,3303,2831,84218,13201,799460
５５　川　崎　市,508897,234620,40055,1841,86331,34156,32662,386,1000,896,32908,4386,266374
５６　名古屋　市,923001,437393,61361,4251,148704,64593,66864,813,1339,1981,82908,4579,480098
５７　京　都　市,655992,289208,45459,3096,83605,46675,46225,512,1939,1144,52387,8166,340367
５８　大　阪　市,1119642,486715,63519,5379,162483,80848,77692,624,302,1752,88099,6016,603909
５９　神　戸　市,662536,266486,43970,2470,87623,41465,39143,504,2123,1073,40629,7486,383126
６０　広　島　市,488730,232026,37184,2121,78583,34395,32492,646,3379,1064,37727,4435,249032
６１　北九州　市,460539,190244,32707,1621,55761,31612,30740,251,1516,935,32298,2803,262004
６２　福　岡　市,594669,277476,44607,2569,94849,44753,43038,521,1900,1284,37346,6609,295592
